"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
-0.32732,-0.32732,0,8.8504e-13,8.8504e-13,8.8504e-13,6.7471,1.133,-0.98196,0
-0.33648,-0.33648,0,7.0426e-13,7.0426e-13,7.0426e-13,6.7838,1.1088,-1.0094,0
-0.34158,-0.34158,0,7.4975e-13,7.4975e-13,7.4975e-13,6.8046,1.0946,-1.0248,0
-0.35311,-0.35311,0,2.043e-13,2.043e-13,2.043e-13,6.8524,1.0615,-1.0593,0
-0.35618,-0.35618,0,2.3427e-13,2.3427e-13,2.3427e-13,6.8655,1.0523,-1.0686,0
-0.36785,-0.36785,0,-2.9779e-13,-2.9779e-13,-2.9779e-13,6.9162,1.0156,-1.1036,0
-0.36986,-0.36986,0,-1.7342e-13,-1.7342e-13,-1.7342e-13,6.9252,1.0089,-1.1096,0
-0.38134,-0.38134,0,-2.1572e-12,-2.1572e-12,-2.1572e-12,6.9773,0.96983,-1.144,0
-0.38426,-0.38426,0,-2.1199e-12,-2.1199e-12,-2.1199e-12,6.9909,0.95941,-1.1528,0
-0.39122,-0.39122,0,-2.3573e-12,-2.3573e-12,-2.3573e-12,7.0244,0.9332,-1.1737,0
-0.3975,-0.3975,0,-6.0829e-12,-6.0829e-12,-6.0829e-12,7.0547,0.90955,-1.1925,0
-0.39994,-0.39994,0,-7.2007e-12,-7.2007e-12,-7.2007e-12,7.0669,0.89973,-1.1998,0
-0.41121,-0.41121,0,-1.2414e-11,-1.2414e-11,-1.2414e-11,7.1244,0.85321,-1.2336,0
-0.41191,-0.41191,0,-1.2522e-11,-1.2522e-11,-1.2522e-11,7.1281,0.85021,-1.2357,0
-0.41205,-0.41205,0,-1.2469e-11,-1.2469e-11,-1.2469e-11,7.1288,0.8496,-1.2362,0
-0.42326,-0.42326,0,-9.5689e-12,-9.5689e-12,-9.5689e-12,7.1905,0.79787,-1.2698,0
-0.42595,-0.42595,0,-9.5945e-12,-9.5945e-12,-9.5945e-12,7.2057,0.78507,-1.2779,0
-0.43024,-0.43024,0,-6.6263e-12,-6.6263e-12,-6.6263e-12,7.231,0.76325,-1.2907,0
-0.43435,-0.43435,0,-8.8533e-12,-8.8533e-12,-8.8533e-12,7.2552,0.74244,-1.3031,0
-0.43955,-0.43955,0,-5.7589e-12,-5.7589e-12,-5.7589e-12,7.2873,0.71437,-1.3187,0
-0.44528,-0.44528,0,-7.4243e-13,-7.4243e-13,-7.4243e-13,7.3243,0.68158,-1.3358,0
-0.45212,-0.45212,0,5.541e-12,5.541e-12,5.541e-12,7.3707,0.64002,-1.3564,0
-0.45426,-0.45426,0,6.6724e-12,6.6724e-12,6.6724e-12,7.3858,0.62634,-1.3628,0
-0.45776,-0.45776,0,7.5865e-12,7.5865e-12,7.5865e-12,7.4121,0.60224,-1.3733,0
-0.46239,-0.46239,0,1.9558e-11,1.9558e-11,1.9558e-11,7.447,0.57015,-1.3872,0
-0.46555,-0.46555,0,3.2141e-11,3.2141e-11,3.2141e-11,7.4726,0.54642,-1.3966,0
-0.46935,-0.46935,0,5.601e-11,5.601e-11,5.601e-11,7.505,0.51608,-1.4081,0
